bookkeeping	category	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	macroareas	markup_description	name	newick	pk
FALSE	Spoken L1 Language	0	0	0				bsa	abin1243	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/1763"", ""label"": ""Abinomn""}, {""url"": ""https://www.wikidata.org/entity/Q56648"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Abinomn_language"", ""label"": null}], ""meds"": [[""89329"", ""phonology_or_text"", 2007, 14, ""Mark Donohue and Simon Musgrave 2007""], [""554672"", ""wordlist_or_less"", 1999, 29, ""Fiwei, Christian and Tomas Kokoi and Klaus Fiwei and Yohanies Dude and Hubert Yamboi-Rumanasen and Aser Fiwei and Mark Donohue and Duane Clouse 1999""], [""90152"", ""wordlist_or_less"", 1984, 124, ""Peter J. Silzer and Helj\u00e4 Heikkinen 1984""], [""31963"", ""wordlist_or_less"", 1958, 2, ""Lagerberg, C.S.I.J 1958""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-2.92281	language	138.891	Papunesia		Abinomn	'Abinomn [abin1243][bsa]-l-':1	213
FALSE	Spoken L1 Language	3	0	0				kgr	abun1252	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/10730"", ""label"": ""Abun""}, {""url"": ""https://www.wikidata.org/entity/Q56657"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Abun_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_abu"", ""label"": ""Abun""}], ""meds"": [[""59948"", ""grammar"", 1999, 248, ""Keith Berry and Christine Berry 1999""], [""79456"", ""grammar"", 1995, 225, ""Berry, Keith 1995""], [""19573"", ""wordlist_or_less"", 1879, 3, ""A. A. Bruijn 1879""], [""109606"", ""wordlist_or_less"", 1855, 1, ""Fabritius, G. J. 1855""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-0.57073	language	132.416	Papunesia		Abun	"('Abun Je [abun1253]':1,'Abun Ji [abun1255]':1,'Abun Tat [abun1254]':1)'Abun [abun1252][kgr]-l-':1"	36
FALSE	Spoken L1 Language	0	0	0				xad	adai1235	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q346744"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Adai_language"", ""label"": null}], ""meds"": [[""76121"", ""wordlist_or_less"", 1995, 15, ""Anthony P. Grant 1995""]], ""ethnologue_comment"": {""isohid"": ""xad"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Adai, an extinct North American presumably isolate language, is missing from E16/E17/E18/E19/E20/E21/E22/E23 (**hh:w:Grant:Adai**).""}, ""iso_retirement"": null}"	31.6314	language	-92.0059	North America		Adai	'Adai [adai1235][xad]-l-':1	251
FALSE	Spoken L1 Language	0	0	0				ash	abis1238	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/3665"", ""label"": ""Tequiraca""}, {""url"": ""https://www.wikidata.org/entity/Q2871740"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Tequiraca_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/abis1238"", ""label"": null}], ""meds"": [[""61125"", ""phonology_or_text"", 2012, 10, ""Lev Michael and Christine Beier 2012""], [""34227"", ""wordlist_or_less"", 1930, 6, ""G\u00fcnter Tessmann 1930""], [""75998"", ""wordlist_or_less"", 1889, 329, ""Pierre, Fran\u00e7ois 1983 [1889]""], [""136205"", ""wordlist_or_less"", 1858, 0, ""Villavicencio, M. 1984 [1858]""], [""107414"", ""wordlist_or_less"", 1850, 0, ""Osculati, Gaetano 1850""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-1.284096	language	-75.084405	South America		Aewa	'Aewa [abis1238][ash]-l-':1	385
FALSE	Spoken L1 Language	1	0	0				tba	aika1237	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/669"", ""label"": ""Aikan\u00e3""}, {""url"": ""https://www.wikidata.org/entity/Q3409307"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aikan%C3%A3_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/aika1237"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_aik"", ""label"": ""Aikan\u00e1""}], ""meds"": [[""152646"", ""grammar_sketch"", 2004, 78, ""Vasconcelos, Ione P. 2004""], [""109441"", ""grammar_sketch"", 1996, 20, ""Ione Vasconcelos 1996""], [""146313"", ""grammar_sketch"", 1993, 0, ""na 1993""], [""117048"", ""wordlist_or_less"", 1915, 68, ""Erland Nordenski\u00f6ld 1915""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-12.6695	language	-60.5353	South America		AikanÃ£	('MasakÃ¡ [masa1312]':1)'AikanÃ£ [aika1237][tba]-l-':1	301
FALSE	Spoken L1 Language	2	0	0				aes	alse1251	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q2395641"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Alsea_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_als"", ""label"": ""Alsea""}], ""meds"": [[""111772"", ""long_grammar"", 1918, 431, ""Frachtenberg, Leo Joachim 1918""], [""569209"", ""wordlist_or_less"", 1891, 26, ""Boas, F. 1891""]], ""ethnologue_comment"": {""isohid"": ""aes"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Alsea, an extinct North American language isolate, is missing from E17/E18/E19/E20/E21/E22/E23 (**hh:hv:Golla:Alsea**, **hh:g:Frachtenberg:Alsea**, **hh:t:Frachtenberg:Alsea**).""}, ""iso_retirement"": null}"	44.408	language	-123.94	North America		Alsea-Yaquina	"('Alsea [alse1252]':1,'Yaquina [yaqu1250]':1)'Alsea-Yaquina [alse1251][aes]-l-':1"	168
FALSE	Spoken L1 Language	0	0	0				ana	anda1286	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q2846078"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andaqui_language"", ""label"": null}], ""meds"": [[""8793"", ""phonology_or_text"", 1994, 30, ""Coronas Urz\u00faa, Gabriela 1994""], [""107625"", ""wordlist_or_less"", 1855, 22, ""Vergara i Vergara, Jos\u00e9 Maria and Evaristo Delgado 1855""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	2.74999	language	-76	South America		Andaqui	'Andaqui [anda1286][ana]-l-':1	352
FALSE	Spoken L1 Language	2	0	0				ano	ando1256	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/676"", ""label"": ""Andoque""}, {""url"": ""https://www.wikidata.org/entity/Q2669225"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andoque_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ando1256"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_adk"", ""label"": ""Andoke""}], ""meds"": [[""120505"", ""long_grammar"", 1979, 350, ""Jon Landaburu 1979""], [""98888"", ""long_grammar"", 1976, 350, ""Landaburu, Jon 1976""], [""144127"", ""wordlist_or_less"", 1952, 13, ""Paul Rivet and Robert de Wavrin 1952""], [""54846"", ""wordlist_or_less"", 1862, 1, ""Latham, Robert Gordon 1862""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-0.53751	language	-72.0869	South America		Andoque	"('Andoke [ando1257]':1,'Urekena [urek1234]':1)'Andoque [ando1256][ano]-l-':1"	176
FALSE	Spoken L1 Language	2	0	0				anz	anem1249	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/10806"", ""label"": ""Anem""}, {""url"": ""https://www.wikidata.org/entity/Q56512"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/An%C3%AAm_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_ane"", ""label"": ""An\u00eam""}], ""meds"": [[""102580"", ""grammar_sketch"", 1980, 103, ""Thurston, William R. 1980""], [""151639"", ""phonology_or_text"", 1976, 41, ""Thurston, William 1976""], [""135107"", ""wordlist_or_less"", 1975, 1, ""Stephen A. Wurm 1975""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-5.54836	language	148.993	Papunesia		Anem	"('Akiblik [akib1234]':1,'Coastal Anem [coas1322]':1)'Anem [anem1249][anz]-l-':1"	259
FALSE	Spoken L1 Language	2	0	0				atx	arut1244	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/667"", ""label"": ""Arutani""}, {""url"": ""https://en.wikipedia.org/wiki/Arutani_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q56609"", ""label"": null}], ""meds"": [[""145498"", ""phonology_or_text"", 1967, 2, ""Migliazza, Ernesto 1967""], [""93375"", ""wordlist_or_less"", 1943, 9, ""de Matallana, Baltasar and de Armellada, Cesareo 1943""], [""41743"", ""wordlist_or_less"", 1928, 6, ""Theodor Koch-Gr\u00fcnberg 1928""], [""26137"", ""wordlist_or_less"", 1913, 3, ""Koch-Gr\u00fcnberg, Theodor 1913""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	4.0673594	language	-62.8676118	South America		Arutani	"('Awake [awak1251]':1,'Uruak [urua1245]':1)'Arutani [arut1244][atx]-l-':1"	375
